#Frame         radius     distplot         rmsf  ligand_rmsd            C           CA            O            N         SASA
     155      21.5628       1.3522      37.8385       1.8651       1.7257       1.7539       1.8556       1.7077     155.8769
     156      21.4695       1.2064      35.4473       1.9491       1.5500       1.5701       1.6973       1.5297     155.6638
     157      21.5852       1.1964      21.1286       1.8749       1.5361       1.5563       1.6835       1.5139     151.6633
     158      21.6096       1.3008      40.9262       1.7524       1.7016       1.7200       1.8395       1.6786     164.5844
     159      21.5879       1.3001      19.3902       1.7601       1.6743       1.6921       1.8047       1.6520     143.1540
     160      21.6299       1.3643      15.7181       1.8684       1.7348       1.7578       1.8665       1.7129     159.5409
     161      21.6118       1.3780      66.9705       1.8872       1.7408       1.7570       1.8739       1.7138     156.8202
     162      21.6310       1.3907      18.0527       1.7976       1.7129       1.7351       1.8523       1.6863     161.9445
     163      21.6040       1.3504      13.8997       1.8811       1.7052       1.7248       1.8323       1.6836     139.5115
     164      21.6393       1.3457      18.2733       1.9017       1.7302       1.7576       1.8604       1.7148     149.2394
     165      21.7031       1.4187      23.7082       1.8571       1.7725       1.8115       1.8934       1.7596     158.1015
     166      21.6897       1.5059      17.6041       1.8366       1.9332       1.9592       2.0459       1.9223     154.1313
     167      21.6764       1.5336      23.6576       1.8360       1.9734       1.9941       2.0863       1.9496     156.2516
     168      21.6565       1.4065      41.7737       1.7693       1.8706       1.9035       1.9805       1.8683     137.6188
     169      21.7207       1.4613      13.3479       1.8573       2.0047       2.0452       2.1227       1.9947     148.2562
     170      21.7137       1.4532      10.6670       1.6971       1.9054       1.9398       2.0037       1.9062     142.4248
     171      21.6844       1.5757      20.0711       1.8495       1.9830       2.0139       2.0961       1.9713     156.9988
     172      21.7284       1.5453      12.4871       1.9544       2.0636       2.0932       2.1737       2.0500     166.4542
     173      21.6715       1.5520      11.7126       1.8902       2.0808       2.1078       2.1935       2.0746     149.1938
     174      21.6055       1.3747       9.5365       1.8085       1.8322       1.8658       1.9459       1.8234     156.5726
     175      21.5888       1.3565      33.2183       1.9334       1.7045       1.7310       1.8275       1.6918     137.6681
     176      21.5608       1.3723      11.4271       1.8356       1.6924       1.7194       1.8169       1.6730     131.2719
     177      21.5738       1.4003      12.1275       1.9145       1.8297       1.8616       1.9562       1.8146     140.9074
     178      21.5500       1.3888      23.9824       1.9397       1.7946       1.8384       1.8789       1.8095     142.4250
     179      21.6792       1.4471      17.6066       1.9244       1.9303       1.9665       2.0355       1.9257     133.9872
     180      21.6549       1.5591      10.8700       1.9172       2.0495       2.0841       2.1582       2.0401     139.2415
     181      21.6107       1.7253      12.6015       2.0647       2.2122       2.2462       2.2942       2.2143     142.6158
     182      21.7106       1.7359      98.2364       2.0643       2.2149       2.2485       2.3004       2.2173     138.1290
     183      21.7540       1.8074      26.1545       1.9804       2.2626       2.3019       2.3410       2.2615     144.0303
     184      21.8289       1.7547      14.8629       2.1667       2.2772       2.3092       2.3748       2.2703     149.3323
     185      21.7088       1.5226      19.1794       2.0412       1.9785       2.0070       2.0907       1.9672     135.1368
     186      21.6899       1.5698      13.8451       2.0822       2.0071       2.0322       2.1170       1.9910     133.1566
     187      21.5873       1.5678      31.1431       2.1269       2.0220       2.0576       2.1067       2.0253     118.8223
